semana_inicio,preco_interno_r$_l,preco_outros_estados_r$_l
2021-05-21,2.6531,3.0239
2021-05-28,2.5464,2.9223
2021-06-04,2.6561,2.9599
2021-06-11,2.6256,2.9524
2021-06-18,2.5217,2.8167
2021-06-25,2.4254,2.7529
2021-07-02,2.5334,2.8009
2021-07-09,2.6351,2.8885
2021-07-16,2.6469,2.9365
2021-07-23,2.6391,2.9183
2021-07-30,2.6629,2.9529
2021-08-06,2.7298,3.0217
2021-08-13,2.8431,3.1437
2021-08-20,2.9147,3.2427
2021-08-27,2.9027,3.2042
2021-09-03,2.8954,3.189
2021-09-10,2.918,3.194
2021-09-17,2.9373,3.2519
2021-09-24,2.9483,3.2792
2021-10-01,2.9522,3.284
2021-10-08,2.9655,3.3138
2021-10-15,3.0053,3.3812
2021-10-22,3.0661,3.4414
2021-10-29,3.3373,3.7946
2021-11-05,3.3982,3.8503
2021-11-12,3.3767,3.7863
2021-11-19,3.3501,3.6887
2021-11-26,3.161,3.5162
2021-12-03,3.1114,3.438
2021-12-10,3.0054,3.2666
2021-12-17,3.021,3.3213
2021-12-23,2.9519,3.2987
2021-12-30,2.9536,3.3023
2022-01-07,2.9469,3.3031
2022-01-14,2.9404,3.2725
2022-01-21,2.875,3.2608
2022-01-28,2.7446,3.1397
2022-02-04,2.5361,2.807
2022-02-11,2.4408,2.7008
2022-02-18,2.5116,2.8233
2022-02-25,2.4649,2.7928
2022-03-04,2.521,2.8
2022-03-11,2.7121,3.0297
2022-03-18,2.9016,3.2326
2022-03-25,2.8441,3.2028
2022-04-01,2.8997,3.3073
2022-04-08,3.0109,3.4093
2022-04-14,3.3188,3.7646
2022-04-22,3.3004,3.7515
2022-04-29,3.074,3.3857
2022-05-06,2.8258,3.2073
2022-05-13,2.9238,3.295
2022-05-20,2.9406,3.3169
2022-05-27,2.8977,3.2589
2022-06-03,2.7731,3.1388
2022-06-10,2.7707,3.1149
2022-06-17,2.7065,3.0465
2022-06-24,2.7197,3.0442
2022-07-01,2.8067,2.9309
2022-07-08,2.816,2.926
2022-07-15,2.8346,2.9455
2022-07-22,2.8486,2.904
2022-07-29,2.8031,2.8669
2022-08-05,2.7368,2.7653
2022-08-12,2.604,2.6377
2022-08-19,2.4183,2.3822
2022-08-26,2.2823,2.2736
2022-09-02,2.2135,2.2544
2022-09-09,2.009,2.0951
2022-09-16,2.1265,2.2096
2022-09-23,2.245,2.2756
2022-09-30,2.2715,2.324
2022-10-07,2.3982,2.4482
2022-10-14,2.5088,2.5864
2022-10-21,2.5645,2.6251
2022-10-28,2.5438,2.5912
2022-11-04,2.6688,2.6997
2022-11-11,2.7078,2.7404
2022-11-18,2.6329,2.6814
2022-11-25,2.6197,2.6644
2022-12-02,2.6018,2.6658
2022-12-09,2.569,2.6421
2022-12-16,2.5297,2.5811
2022-12-23,2.6804,2.719
2022-12-29,2.7231,2.7714
2023-01-06,2.7102,2.7295
2023-01-13,2.4973,2.4775
2023-01-20,2.415,2.417
2023-01-27,2.487,2.5642
2023-02-03,2.6179,2.6205
2023-02-10,2.5902,2.5958
2023-02-17,2.6327,2.6716
2023-02-24,2.6922,2.7286
2023-03-03,2.7112,2.7448
2023-03-10,2.6633,2.7067
2023-03-17,2.5847,2.6232
2023-03-24,2.5604,2.5947
2023-03-31,2.5616,2.5953
2023-04-06,2.6598,2.6865
2023-04-14,2.6984,2.7622
2023-04-20,2.8444,2.9047
2023-04-28,2.8415,2.8164
2023-05-05,2.6644,2.6395
2023-05-12,2.5431,2.5754
2023-05-19,2.395,2.4486
2023-05-26,2.4388,2.4819
2023-06-02,2.478,2.5177
2023-06-09,2.4462,2.4518
2023-06-16,2.3977,2.4404
2023-06-23,2.33,2.3823
2023-06-30,2.3352,2.3926
2023-07-07,2.2519,2.2994
2023-07-14,2.1128,2.1657
2023-07-21,1.9945,2.032
2023-07-28,1.9712,2.0122
2023-08-04,1.9768,2.0171
2023-08-11,1.943,2.0077
2023-08-18,2.0521,2.0966
2023-08-25,2.0915,2.1278
2023-09-01,2.0649,2.1104
2023-09-08,2.0873,2.1155
2023-09-15,2.0698,2.1136
2023-09-22,2.0587,2.109
2023-09-29,2.0547,2.0906
2023-10-06,2.052,2.1019
2023-10-13,2.059,2.1087
2023-10-20,2.0803,2.1197
2023-10-27,2.083,2.1244
2023-11-03,2.0933,2.1379
2023-11-10,2.0856,2.1386
2023-11-17,2.0543,2.0959
2023-11-24,2.042,2.0913
2023-12-01,1.9907,2.05
2023-12-08,1.9389,1.9233
2023-12-15,1.8638,1.8993
2023-12-22,1.8591,1.9077
2023-12-28,1.8789,1.9282
2024-01-05,1.8774,1.9083
2024-01-12,1.8215,1.8523
2024-01-19,1.8578,1.8726
2024-01-26,1.9512,1.9971
2024-02-02,2.0197,2.0742
2024-02-09,2.0151,2.0776
2024-02-16,1.9961,2.0531
2024-02-23,2.0205,2.0537
2024-03-01,2.036,2.0586
2024-03-08,2.0193,2.0486
2024-03-15,2.0027,2.0475
2024-03-22,2.0794,2.1201
2024-03-28,2.3589,2.3256
2024-04-05,2.4035,2.4511
2024-04-12,2.3493,2.4059
2024-04-19,2.3844,2.4293
2024-04-26,2.3324,2.3367
2024-05-03,2.2573,2.2983
2024-05-10,2.2585,2.2944
2024-05-17,2.2237,2.2831
2024-05-24,2.1999,2.2456
2024-05-31,2.2174,2.2521
2024-06-07,2.2165,2.2677
2024-06-14,2.2371,2.272
2024-06-21,2.2695,2.3235
2024-06-28,2.3698,2.3993
2024-07-05,2.4254,2.4662
2024-07-12,2.5598,2.6347
2024-07-19,2.599,2.6625
2024-07-26,2.5433,2.5629
2024-08-02,2.5341,2.5686
2024-08-09,2.5446,2.5945
2024-08-16,2.5011,2.5535
2024-08-23,2.4612,2.4995
2024-08-30,2.4351,2.4991
2024-09-06,2.4134,2.4516
2024-09-13,2.2987,2.3728
2024-09-20,2.3366,2.3902
2024-09-27,2.4246,2.464
2024-10-04,2.3529,2.3955
2024-10-11,2.4096,2.4487
2024-10-18,2.4599,2.5202
2024-10-25,2.4773,2.5451
2024-11-01,2.4948,2.5501
2024-11-08,2.5097,2.5573
2024-11-14,2.4955,2.5518
2024-11-22,2.4919,2.552
2024-11-29,2.4971,2.5564
2024-12-06,2.4891,2.5594
2024-12-13,2.5165,2.5728
2024-12-20,2.5459,2.6003
2024-12-27,2.584,2.6462
2025-01-03,2.5924,2.6443
2025-01-10,2.6622,2.7293
2025-01-17,2.7177,2.7741
2025-01-24,2.7213,2.7814
2025-01-31,2.7093,2.7929
2025-02-07,2.717,2.7783
2025-02-14,2.7215,2.7969
2025-02-21,2.7117,2.76
2025-02-28,2.6916,2.7374
2025-03-07,2.6701,2.7467
2025-03-14,2.6495,2.6904
2025-03-21,2.6222,2.6642
2025-03-28,2.6296,2.6769
2025-04-04,2.6758,2.7287
2025-04-11,2.6871,2.7313
2025-04-17,2.6748,2.7285
2025-04-25,2.6712,2.7144
2025-05-02,2.6726,2.7017
2025-05-09,2.6616,2.697
2025-05-16,2.5941,2.6399
2025-05-23,2.5405,2.5812
2025-05-30,2.4936,2.5462
2025-06-06,2.4432,2.4885
2025-06-13,2.4083,2.4588
2025-06-20,2.435,2.4762
2025-06-27,2.4646,2.5347
2025-07-04,2.4852,2.5377
2025-07-11,2.4425,2.5075
2025-07-18,2.4176,2.4695
2025-07-25,2.4212,2.4796
2025-08-01,2.508,2.5678
2025-08-08,2.5455,2.5878
2025-08-15,2.5341,2.586
2025-08-22,2.5609,2.6217
2025-08-29,2.618,2.6875
2025-09-05,2.6686,2.7082
2025-09-12,2.6563,2.7244
2025-09-19,2.6299,2.6929
2025-09-26,2.6072,2.6808
2025-10-03,2.5893,2.644
2025-10-10,2.5763,2.6161
2025-10-17,2.598,2.6649
2025-10-24,2.6023,2.6822
2025-10-31,2.6418,2.6928
2025-11-07,2.6836,2.7083
2025-11-14,2.7304,2.7717
2025-11-21,2.79,2.8333
2025-11-28,2.8298,2.8809
2025-12-05,2.8728,2.9219
2025-12-12,2.909,2.952
2025-12-19,2.9027,2.9978
2025-12-26,2.9057,2.9679
2026-01-02,2.9275,2.9994
2026-01-09,2.9474,3.0137
2026-01-16,2.9735,3.0365
2026-01-23,2.9954,3.0658
2026-01-30,2.9716,3.0572
2026-02-06,2.9075,3.0051
2026-02-13,2.9048,2.9922
2026-02-20,2.8649,2.9252
2026-02-27,2.8211,2.894
2026-03-06,2.8342,2.9092
2026-03-13,2.8289,2.9055
2026-03-20,2.8216,2.8876
2026-03-27,2.8187,2.8867
2026-04-02,2.8113,2.8738
2026-04-10,2.7753,2.8397
2026-04-17,2.6527,2.6378
2026-04-24,2.4261,2.4837
2026-04-30,2.267,2.2582
2026-05-08,2.1647,2.2009
2026-05-15,2.085,2.1185
2026-05-22,2.0708,2.1234
2026-05-29,2.0858,2.1335
2026-06-05,2.1062,2.1567
